,text,label
14463,"rt [USER]: 😂😂😂 rt [USER]: lmfao ""[USER]: how side bitches be when you scoop them up in the daytime! [URL]",1
5278,[USER] btw jim crow laws were supported by democrats not republicans and mlk was a republican fact,0
22985,"we bout to be the next chik fil a, lmao. couple of fags said we told them if they didn't like their food to get out. never happened 😂😂😂😂",1
14128,people hate on da rig life but i love my baby more then a pussy ass nigguh,1
6033,[USER] yeah bitch did it taste good fucker -.-t,1
23343,why do bitches put fuck a bio in they bio?... technically u still wrote a bio.,1
17380,rt [USER]: mayweather a lil bitch this nigga out here dancing,1
12347,jay-z got 1 of the baddest eva that proves men don't really need to look good to pull these hoes want security,1
3439,[USER] [USER] [USER] is that all u can say twat?,1
17441,rt [USER]: if money💵 was my girl💏 id stalk that bitch.😈🔎🔦👀💯💮🌴,1
11880,if the world was free of sucka free it would be just me and my nigs left,1
11022,"i luv watching gas monkey, they be havin some classics on there.",0
18207,"rt [USER]: finally! warner bros. making superhero films starring a woman, person of color and actor who identifies as ""queer"" [URL]",0
20141,rt [USER]: fuck your gpa bitch im a lot smarter than you,1
11812,if a bitch choosin let her choose lmao that is all !,1
6537,"[USER] of the washington post to call the president ignorant i ask you racist ,angry ,bitter, bitch look in the mirror!!!!!!!!!!!",1
13024,make sure that pussy clean  cuz ima eat until you scream,1
12153,is wayne brady gonna have to smack a bitch?,1
22975,wave 🌊 or get splashed 💦 on!!! splash gang ya bitch you!!,1
18532,"rt [USER]: ""[USER]: bitches cant get the ios8 because they have over 10 gb of selfies cuh""😂😂😂",1
15599,rt [USER]: the go-to insult is always to call someone:  1. fat 2. ugly or 3. a hoe,1
19269,rt [USER]: before i betray them i slit my wrist [URL],0
8740,come get this catfish pussy,1
3316,[USER] i pissed alotta ppl off on fb i was flooding the newsfeed next target them hoe ass texans,1
2144,' she was mad for like 5 mins got over it and hit him right back up lol she care about that niggah . [URL],1
3567,[USER] [USER] some of them bitches give you more than a virus,1
784,shout out to my mack town niccas!,1
21615,stiff armed his hoe ass lmao,1
6089,"[USER] thank you mint - happy mothafuggin birthday too, hoe!! 💛✊",1
7395,[USER] wha? me? i'm just waiting for showtime to bring back queer as folk.,0
22490,this brownies bro,0
93,"""[USER]: ""[USER]: [USER] that nigga was eating that hoe lol"" hell yea lol john paul"" nigga said john paul.. [URL]",1
9084,double stuff oreos mane say,0
19434,"rt [USER]: pulled a dead bird from my garden.   grateful to be out of the hot sun, it winked at me with its rotting eye socket.",0
4981,[USER] not only that.. after he pushed him he stepped back lolol. that was some pussy shit,1
