,text,label
14463,"rt [USER]: 😂😂😂 rt [USER]: lmfao ""[USER]: how side bitches be when you scoop them up in the daytime! [URL]",0
5278,[USER] btw jim crow laws were supported by democrats not republicans and mlk was a republican fact,0
22985,"we bout to be the next chik fil a, lmao. couple of fags said we told them if they didn't like their food to get out. never happened 😂😂😂😂",0
14128,people hate on da rig life but i love my baby more then a pussy ass nigguh,0
6033,[USER] yeah bitch did it taste good fucker -.-t,0
23343,why do bitches put fuck a bio in they bio?... technically u still wrote a bio.,0
17380,rt [USER]: mayweather a lil bitch this nigga out here dancing,0
12347,jay-z got 1 of the baddest eva that proves men don't really need to look good to pull these hoes want security,0
3439,[USER] [USER] [USER] is that all u can say twat?,0
17441,rt [USER]: if money💵 was my girl💏 id stalk that bitch.😈🔎🔦👀💯💮🌴,0
11880,if the world was free of sucka free it would be just me and my nigs left,0
11022,"i luv watching gas monkey, they be havin some classics on there.",0
18207,"rt [USER]: finally! warner bros. making superhero films starring a woman, person of color and actor who identifies as ""queer"" [URL]",0
20141,rt [USER]: fuck your gpa bitch im a lot smarter than you,0
11812,if a bitch choosin let her choose lmao that is all !,0
6537,"[USER] of the washington post to call the president ignorant i ask you racist ,angry ,bitter, bitch look in the mirror!!!!!!!!!!!",0
13024,make sure that pussy clean  cuz ima eat until you scream,0
12153,is wayne brady gonna have to smack a bitch?,0
22975,wave 🌊 or get splashed 💦 on!!! splash gang ya bitch you!!,0
18532,"rt [USER]: ""[USER]: bitches cant get the ios8 because they have over 10 gb of selfies cuh""😂😂😂",0
15599,rt [USER]: the go-to insult is always to call someone:  1. fat 2. ugly or 3. a hoe,0
19269,rt [USER]: before i betray them i slit my wrist [URL],0
8740,come get this catfish pussy,0
3316,[USER] i pissed alotta ppl off on fb i was flooding the newsfeed next target them hoe ass texans,0
2144,' she was mad for like 5 mins got over it and hit him right back up lol she care about that niggah . [URL],0
3567,[USER] [USER] some of them bitches give you more than a virus,0
784,shout out to my mack town niccas!,0
21615,stiff armed his hoe ass lmao,0
6089,"[USER] thank you mint - happy mothafuggin birthday too, hoe!! 💛✊",0
7395,[USER] wha? me? i'm just waiting for showtime to bring back queer as folk.,0
22490,this brownies bro,0
93,"""[USER]: ""[USER]: [USER] that nigga was eating that hoe lol"" hell yea lol john paul"" nigga said john paul.. [URL]",0
9084,double stuff oreos mane say,0
19434,"rt [USER]: pulled a dead bird from my garden.   grateful to be out of the hot sun, it winked at me with its rotting eye socket.",0
4981,[USER] not only that.. after he pushed him he stepped back lolol. that was some pussy shit,0
4290,[USER] you bitch and complain about how bad our vets are being treated yet you are still willing to send them off to war? sick idiot!!,0
980,💁😁🙊- lmao my nigga . let's go half on a weed brownie 😩 we will be laughing hard as hell in senior seminar,0
18095,"rt [USER]: idc what phone u got, lol silly nigger",1
15896,rt [USER]: “[USER]: brandon is so annoying”and a lil bitch,0
24179,"bound, gagged, shoved in a trash bin with two bullets in the back of the head. ""i suspect natural causes."" said the world's worst detective.",0
25183,when bitches change and start acting like the nigga they with <<<<<<,0
18990,rt [USER]: jordan wearing bitches need to grow tf up,0
2937,[USER] c'mon pussy,0
16947,rt [USER]: my dick is called offensive joke because some bitches get hurt when it goes too far.,0
4557,[USER] yung nakalagay sa second page ng handout na may closed ended questions etc. tapos lalagay sa 1/2 yellow pad,0
6555,[USER] haha pussy,0
4170,[USER] [USER] nah its bc i'm a bad bitch,0
2070,"' entertain a flirtin ass niggah if you want too , that's gon be yo niggah friendly ass . ✌️",0
23419,wish i got hoes like james bond,0
5816,[USER] [USER] sorry dyslexia is a bitch,0
12648,lebron warm up jacket full then a bitch,0
15444,rt [USER]: what the fuck is this disgusting nigger from the movie captain phillips doing on the red carpet for the oscars what the fuc…,1
14141,people who play fantasy games are white trash,0
8816,cutler less skill at qb than a retarded quadriplegic,0
6775,[USER] [USER] [USER]  approximately 1/2 in one crash. there wasn't supposed to be that many members of a seal team on one bird,0
5027,"[USER] he probably took off a point because gibbs isn't from the east coast and says ""hoes.""",0
16238,rt [USER]: “[USER]: “[USER]: this bitch is garbage at gta.... [URL] 😭😭😭😭😭😭,0
18395,rt [USER]: all detroit niggas do is listen to dbco and fuck other niggas bitches while trying to hold on to their own with no money an…,0
16700,rt [USER]: luv n hip hop checks drying up bitches turning to insurance scams! [URL],0
22536,"this is exactly why bitches end up dead rt [USER]: told him to stop fucking with me , i hope it rain bitch. [URL]",0
13116,me & my next bitch gone turn up on the fashion side. & we ain't wearing nun of that designer shit. that shit basic af,0
3570,[USER] done that spell check we know you meant fat liberal dyke feminist nazi bitches,1
20736,rt [USER]: flappy bird is taking over my life. i can hear the bird crashing every time something goes wrong. [URL],0
10749,i hate that hoe oml 👊👊👊👊😡,0
18746,"rt [USER]: rt [USER]: girls say bs like ""you got too many hoes"". stop letting twitter and ig fool you. i don't know these fucki…",0
22568,this my dog telling me he is done playing frisbee for now.. lazy mutt [URL],0
2395,[USER] bitches are hoes don't be surprised,0
735,iu 8 straight nation college soccer champions! wow! hoosier nation hoosiers ⚽🏆,0
9410,for all you psychology bitches on your periods.. do this to chill tf out [URL],0
11690,"i'm starting to not like meek, this nig a lil to arrogant for me",1
13661,niggas gossip like hoes man i ain't wid that shit,0
16239,"rt [USER]: been trash ""[USER]: the gay chris bosh jokes are getting old now""""",0
2716,[USER] that's ghetto for super duper! it's the current generations best complement.,0
20697,"rt [USER]: "" fuck you say bitch? i will kill you "" [URL]",1
762,pdp live is on november 10th. get your early bird tickets from [URL] [USER] [URL],0
22359,they updated wukong's new splash so it doesn't look so fucking retarded,0
16380,rt [USER]: these bitches so fucking stupid smh [URL],0
12203,it opened up with some clouds parting and with silk----->can we get a room on the southside of the ghetto!,0
298,"""[USER]: there's a lane some bitches need to stay in 😎"" the left n get right the fuck outta our face 😭💁😘",0
14770,rt [USER]: homeowner shoots armed suspect who attacked and pistol whipped him [URL],0
21051,"sam is hands down easily no doubt in a million years my least favorite character, such a little bitch! freaks and geeks",0
4735,[USER] you fucking twat just start talking,0
20834,"rt [USER]: some of y'all hoes can spend $300 on bundles, have a mk purse with a matching wallet, have your nails done but don't ev…",0
19575,rt [USER]: a woman never cheated unless a man drove her to do it... men only cheat for new pussy,0
11062,i need a heated bra because my nips hurt so bad!,0
16603,rt [USER]: had to charge my ipod.  fuck the redskins.,0
10037,helga was a bitch.... and for what reason.? hey arnold,0
21741,"talk alot of shit, but if i want ill put u on the spot so don't test me bitch!",0
18399,rt [USER]: best college gameday sign ever! the dak-ness is spreading! charlie murphy's true hollywood stories. chappelle show [URL],0
9014,dog i think it's a nigga dyke i was wondering the same rt [USER]: is the person that sing 'no flex zone' a male or female?,0
13908,"okay i'm gonna need for everyone to stop calling rihanna a hoe , k thanks .",0
14037,"oomf got the ""hoes""",0
24434,holy fuck yall are little bitches. its like 50 in san antonio stfu,0
16477,rt [USER]: lmao that bitch saw the camera & looked up at the big screen n then realized💀💀 [URL],0
11792,if i had a dollar for every time someone called me maggie i'd make it rain on all these hoes,0
21075,say my fucking name hoe,0
6186,[USER] [USER] lol this faggot hid from the moon boss we i was helping him,0
965,"👉 rt [USER]: nigga was smashing his hoe, had his hoe paying for a condo and he still with her 😂😂😂😂 yep fucboy",0
6350,[USER] pau pissed me off like boozer pissed off bulls fan... 2 soft faggots,0
6116,[USER] pussy pussy pussy,0
10535,"i done seen a lot of fake shit. that bitch ain't bad, she's basic.",0
710,dutch farmers are white trash.,1
919,"porn,android,i phone,i pad,sex,xxx, | old young | german milf getting young and old cock in her pussy [URL]",0
25221,wish i had a brownie or a dab to knock me out rn,0
5609,[USER] naw fuck u bitch and go suck up cartier,0
6369,[USER] playas fuck up too lmao but that's like on trash forreal you a crazy one i see 👀👀😵,0
7178,[USER] [USER] bitch what. meet up at plano senior high school or vines i got some shit on my chest am going take it out on yall,0
23266,where's the part where fat amy goes err wop wobn wefo? things people say [USER],0
724,holiday season live [USER] [USER] shy glizzy feat plies - free tha gang: [URL],0
13318,my boyfriend is such a smart ass bitch watch yourself you wear the pants but i fucking unzip them. k.,0
25286,you niggers cheat on ya gf's? smh....,0
828,yankees damn. well joe that move to the bullpen really helped.,0
24993,teeth can make or break a person. you could be a 10 and have yellow teeth and immediately drop to a 2.,0
12609,"laat zihni ozdil met rust jullie gemene trollen, hoe durven jullie zijn mening in twijfel te nemen! zijn zegje is wet en*kuch**kuch*. .water",0
21263,shoutout to my mamma cause she ain't raise no hoe,0
2303,416 we know ya bitch [USER],0
23074,what be the peckin order? 1 white christian 2 colored 3 porto ricans  4 arab  5 jews   i donts know. i be axin,1
19540,rt [USER]: c is for cunt u is for ur a cunt n is for not sure u know this but ur a cunt t is for turn around bitch; ur a cunt,0
19855,rt [USER]: [USER] you bitch ass nigga,0
22849,"ugly hoes, you can not have attitudes! kill the ratchetness!! you need to be nice, cause your looks sure ain't getting you nowhere!!!!",0
14269,pulled up on this coco ratchet on my way home 😂😭 @[USER] yes bitch,0
4574,[USER] i honesty think the internet is just full of retards.,0
13917,okay. here. if n atitude is sooooo cool> how come you bitches don't call obama by bo jingo? that's what i thought. go buy comb,0
20934,real niggas let real bitches cum first 😜,0
2007,★ best asian massage on the brooklyn park slope --top rated spa ★718-622-0221 - 24 [URL],0
13530,naw i'm just playin i only fucked with bad bitches,0
1303,“[USER]: it's my dogs birthday ❤️” you should get it a bad bitch 😉 punny,0
9185,"eh bitch!? how about you worry about your own psychotic ass. looks like you need to ""be saved"" from being a noisy bitch ✌️💋 cant stand u cunt",1
808,tweet like pontiac holmes  i do the pontiac sprinkler...  nigga nigga nigga nigga spic spic spic spic nigga nigga nigga nigga,1
14885,rt [USER]: been popping all my life what's fame 2 me.. bitches been stalking all my life bitches ain't a thang 2 me,0
2068,' don't sleep on ma niggah chood 👌 [USER] 💯💯,1
23149,when stoni isn't doing his faggot gook speak he's actually funny,0
13078,mannnnnn these hoes aint loyal,0
5384,"[USER] i wish you wood, like a tree in this bitch",0
23569,yall hoes got nothing better to do than to gossip and play telephone.,0
10505,i don't like you bitch so 😂😂 & i'm having a party all weekend my momma going out of town.,0
5490,[USER] jenny says you're an evil bitch.,0
17629,"rt [USER]: man, now these hoes know 😂💰💶💸 the jig is up [URL]",0
20493,rt [USER]: [USER] crank that shitty pussy yuuuuuuuuuaaaaaaa 💩💩💩💩💩💩💩💩,0
10376,i can neva count my stash cause i always lose count. i can neva keep no bitch cuz i put them hoes out,0
21292,"sick of hearing ap kids bitch about their ""oh so poor"" 4.2 gpa. no one cares.",0
16366,rt [USER] have you bitches done your kegals today?,0
5998,[USER] you did a good job doing that to me and not texting back faggot,1
1330,“[USER]: [USER] no bitch hurry up lol”im so hungry i can't focus😩,0
1931,“[USER]: “[USER]: ya niggas play to fuck my niggas play for keeps😎”‼️😂😎”these bitches can't fuck wit me 😩😩,0
6588,[USER] [USER] [USER] bitch that's next year come on the weekend,0
13807,now i'm listening to lil spook getting the good kinda sad imma be single this fall i know you'll getting annoyed with me on your tl but aye,0
8846,damn [USER] & his nigger music waking up the whole school in the morning .. 🚘🎶😟,1
17,""" bitch who do you love """,0
4572,"[USER] fuck your mother, faggot",1
4646,[USER] i agree my fellow cracker.,1
3863,[USER] tf bitch you had brain surgery and aint tell me??!?,0
20859,"rt [USER]: i sent that bitch a smiley face, bitches love smiley faces 😃",0
16251,"rt [USER]: i love asking really hot, skinny bitches when they're due.",0
5221,[USER] eat yo pickles bitches!,0
15724,rt [USER]: tyga makes you think about fucking a bunch of bad bitches  j.cole makes you motivated  drake makes you wanna think abou…,0
18051,"rt [USER]: bitches tweeting ""relationship goals"" w/no man, job, or real desire to stop being a hoe or partying every weekend. jus a iph…",0
9077,don't you hate when someone you care about is dating a hoe but they won't listen to you?,0
6063,[USER] everytime pro teams do gb tourneys that get schmanged. im not fanboying im just saying i don't think u should say they're trash.,0
17090,rt [USER]: [USER] [USER] [USER] stick to hockey faggot. you're finished,0
9898,haley was called a raghead & accused of adultery and she skyrocketed in the polls. y’all think sheheen didn’t notice that?,0
15352,"rt [USER]: that pussy 😼keep calling me, gettin me in trouble",0
18872,rt [USER]: these bitch niggas couldn't live my cold life$tyle💸👐😋,0
19689,"rt [USER]: ""i love cripples! look at all these fucking cripples! goddamit i'm a people person!"" [URL]",1
10962,"i liked a [USER] video [URL] conor mcgregor trash talking chad mendes: ""i can rest my balls on your forehead""",0
7369,"[USER] [USER] hahahahahahah hook nose faggot, can't get pussy sucks at hockey nhl",0
10105,"hittin licks, what you get outta that? you & yo boys is some pussy cats!!!",0
4150,[USER] you a fag b,1
5570,"[USER] do you, bitch boy?",0
23585,yankees shouldn't rely on the long ball in the playoffs yankees mlb,0
20805,rt [USER]: i asked [USER] what's the definition of a preppy white girl and this niggah said starbucks,0
3540,[USER] you fucking pussy,0
8971,did we just become best friends with these hoes on the boat? well probably so but we don't love em tho,0
10064,hey [USER] fans is this a good score ? looking for more [URL],0
228,"""[USER]: bruh im tired of niggas retweetin miley cyrus naked that bitch aint no types of bad"" lmaooo",0
17135,rt [USER]: guess who stole/fucked yo bitch? [URL],0
23314,whole time your bitch on the phone moaning in me and my bitch ear though..,0
20975,riding my quad with this bitch 😜 [URL],0
12453,"just once in my life i wanna see someone on family feud look at their family member and say ""that's a horrible answer! are you retarded?"".",0
6893,[USER] juss the way she stands screams bitch! lmao [USER] [USER],0
12335,"jamaica populated with island hillbillies. even linguistics are kind of the same, if you sub the accent. olde english derivatives.",0
23913,you still that nigga b don't trip. they just hatin cause they got no bitches rt [USER]: nigga stole on me... princess punch.,0
10560,i feel like i got bitch slapped by karma.,0
12070,ima be home tomorrow so line up a bitch for me,0
2167,"' you tall tree ass females be 6'0 talkin bout "" catching feelings "" , bitch you need to catch this touchdown... [URL]",0
11648,i'm organizing a cease fire between bald headed bitches and weave !,0
17665,"rt [USER]: in the ""nothing lasts forever"" category, i can barely recognize any yankees tonight.",0
4894,[USER] lmao. let's hangout this weekend hoe,0
18653,rt [USER]: “[USER]: you been the side hoe 😂😂😂💀💀👊”omg 😂😂😂😂💸,0
4205,[USER] only if you're a twat as well. be not a twat my son.,0
14663,rt [USER]: when lil b said “word around town that i aint got no bitches? what?! thats a damn lie nigga my nuts is my witness” [URL],0
15481,rt [USER]: new bus stop. guy across the street is yelling and doing david lee roth kicks at swooping crows. i should learn karate.,0
11260,i think you've made it clear that these hoes ain't loyal,0
19548,"rt [USER]: stop fucking calling these legends trash. cuz the top artists of our generation ""take"" from the legends.",0
12681,let's go la support my niccas no matter what,0
20423,"rt [USER]: i'll never smoke weed with willy again. he invited that hick, toby keith, and i fucking hate that mongoloid!",0
8569,can't find my bc powder .. i'll just chug this children's advil,0
11269,"i told my mom she eats cereal ugly & she gon say ""your a rude little bitch"" i just thought i should let bitch know 😂",0
17471,rt [USER]: [USER] dax we don't love these hoes,0
849,faggots killed jesus christ> hello!!!!!!!!!!!!!!!!!!!!!!!!! but whatever. go ahead. gay marriage yourself into pharaoh's pockets>,0
4368,[USER] nah that shit gets me heated. i have the smartest mouth and know what i'm doing and get called a retard. i'm done playing games,0
14913,"rt [USER]: me: ""yeah i think i'll get off early tonight and get a good nights rest.   4:00am: ""not tonight bitch, not tonight.""",0
10022,he's like 30 something year old talking back to my mom & taking my uncles truck without permission like bitch you need to fucken relax !,0
8825,diversity: chcgo blck pstr flooded w/ dth threats ovr endorsement of gop candidate: “u sellout uncle tom ass n*gger” [URL],1
4892,[USER] you bad little bitch,0
22615,this store is so redneck...,0
1299,“[USER]: i'm dre's a bitch tho” 😏,0
9360,fine chicks lap dances always trash,0
17027,rt [USER]: look at all the chicks [USER] follow and tell me he ain't got hoes. [URL],0
23252,where my bitches at mann,0
22687,told da nicca str8 up to his face whateva he got goin on i want in..guess he felt some type of way bout it,0
24244,dear spoiled suburban bitch...,0
11885,if this bitch new the amount of shit i spoke bout her on my twittah lol,0
14881,rt [USER]: fuck dat bitch,0
13238,moving is always a bitch.. i'm excited for dallas though.,0
19727,"rt [USER]: “[USER]: “[USER]: 👑 [URL] hoes on gish road be lookin like.. talkin bout ""5 dolla sucky sucky""😂…",0
1964,"“[USER]: o u unfollowed me so i can't dm u, so i'll say it here, you're a rude cunt lmao” you can dm me",1
16888,rt [USER]: rt [USER] i got no interest in tall skinny model bitches! i like my women with some ass & hips ...,0
23719,you ain't squad lil bitch,0
21991,"the bitch official though, dick harder than a missile yo",0
19209,rt [USER]: bitch act like she never seen a face mask bitch please [URL],0
13144,"member when bitches put ""le"" in front of everything. you not foreign mf 😂",0
11191,i support all of my niggaz and bitches doing dope shit on the west side and in my city la,0
4272,[USER] i am working fag,0
13055,man my bitch is beautiful helen of troy.,0
15835,"rt [USER]: yankees shouldn't even bother to show up to boston, man. just fold the franchise. cancel baseball.",0
3896,"[USER] [USER] look here bitch if i wanted to be gramatically correct, i would have",0
10592,"i fuck with lux and his knowledge but mooks presence, delivery is connecting more to the people. crazy.",0
18452,rt [USER]: if you cant see when you have a real woman by yourside through thick and thin. then maybe you do deserve these hoes . si…,0
19736,rt [USER]: join me for 8's no fucks given join bitch [USER] [USER] [USER],0
6214,[USER] k bitch [URL],0
17604,"rt [USER]: idk if [USER] is really a man, but she surely is a trash rapper.",0
7269,[USER] i am funny bitch,0
16494,"rt [USER]: nov 22,2012: thanksgiving dinner: 2:00pm: proof on main. a day being preoccupied with a giant bird in your... [URL] ...",0
17783,"rt [USER]: idk how people can just not have a job and stay at home all day watching tv, it was so boring for me to do it 2 days idk ho…",0
19267,"rt [USER]: ""[USER]: dudes probably just think eating pussy is sucking on pussy lips 😒"" fse cut it out ;)",0
4016,[USER] [USER] now we have a ebloa case in texas. if we kill all the niggers we might be safe.,1
2298,4 fat hoes ina caddilac. u can tell they jus lost dey luxury car ride virginityhoes too happy lmao,0
1257,“[USER] “[USER]: buddy drug the whole train lmao good ... extra ass hoes” hate them ny hoes”me too,0
23564,yall bitches should be girlfriends for halloween since yall been sidechiccs all year 😂😭😴,0
2544,[USER] [USER] [USER] nah im forreal both of yall pussies smell like some dried up crusty fish guts,0
23929,you wanna watch the game she wanna watch scandal but yo bitch ass didn't buy her another tv so you gotta take da l,0
21693,sure wish my nose would stop dripping.....this sick shit is for the birds,0
16194,rt [USER]: i told y'all... side bitches w motives are more powerful than u think... but i'm sleep.,0
22820,u see a super bad bitch in the club with a nigga that u just can't understand how he got her 99% chance he meet her at happy hour,0
20858,rt [USER]: these hoes ain't loyal,0
275,"""[USER]: ultraviolence video, its coming you little bitch! mtv hottest lana del rey [URL]   bitchy promo",0
2858,[USER] [USER] that would cripple our military :),0
10553,i eat generic oreos.. baller with a budget bitch.,0
18931,rt [USER] lakers on....i thought trash day was monday,0
6753,[USER] dp = double penetration aka a dick in the ass and a dick in the pussy at the same damn time.,0
8532,can charlie crist pull one over on rick scott? well he did pull one over on florida primary dems tonite. tpot election 2014,0
961,👀 rt [USER]: a lotta fck niggas on this here twitter. really be talking like bitches.,0
12250,it's hard being a real nigga when these niggas got bitch tendencies,0
7754,"aint wcw jus ""bitches i wan fck"" day?",0
23697,you a dike cause yo man a pussy.,0
4194,[USER] my fuckin mom is a bitch. like she aint even payin for it. dylan is and he said its fine.,0
9162,early bird gets the worm right? hopefully i get a job soon after today! [URL],0
21610,steve calvin annis cunt [URL],0
